STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|CITY|STATE
TMW_3116|#3116Stonecrest Parc|TMW|TMW_S|TMW_S4|TMW_S406|Brick & Mortar|Open|Lithonia|GA
TMW_1413|#1413Turtle Creek Crossing|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|Hattiesburg|MS
TMW_2401|#2401 Las Vegas, Nv|TMW|TMW_W|TMW_W3|TMW_W302|Brick & Mortar|Open|Las Vegas|NV
TMW_3351|#3351 Posner Commons|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|Davenport|FL
TMW_2686|#2686Alderwood Crossing|TMW|TMW_W|TMW_W3|TMW_W305|Brick & Mortar|Open|Lynnwood|WA
TMW_2683|#2683 North Division|TMW|TMW_W|TMW_W3|TMW_W301|Brick & Mortar|Open|Spokane|WA
TMW_3503|#3503Springfield Town Center|TMW|TMW_N|TMW_N2|TMW_N204|Brick & Mortar|Open|Springfield|VA
TMW_3331|#3331Pembroke Crossing|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|Pembroke Pines|FL
TMW_1431|#1431Cordova Mall|TMW|TMW_S|TMW_S4|TMW_S405|Brick & Mortar|Open|Pensacola|FL
TMW_2513|#2513San Tan Village|TMW|TMW_W|TMW_W3|TMW_W304|Brick & Mortar|Open|Gilbert|AZ
TMW_1231|#1231Hulen Fashion Center|TMW|TMW_S|TMW_S5|TMW_S507|Brick & Mortar|Open|Fort Worth|TX
TMW_5122|#5122Webster Square Shopping Center|TMW|TMW_N|TMW_N3|TMW_N304|Brick & Mortar|Open|Nashua|NH
TMW_3306|#3306Plaza at Brandon Town Ctr|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|Brandon|FL
TMW_3334|#3334 Jensen Beach, Fl|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|Stuart|FL
TMW_3524|#3524Riverview Plaza|TMW|TMW_N|TMW_N2|TMW_N201|Brick & Mortar|Open|Frederick|MD
TMW_3317|#3317Page Field Commons|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|Fort Myers|FL
TMW_4509|#4509Cranberry Crossroads|TMW|TMW_N|TMW_N1|TMW_N105|Brick & Mortar|Open|Cranberry Township|PA
TMW_4637|#4637 Grand Chute, Wi|TMW|TMW_W|TMW_W4|TMW_W406|Brick & Mortar|Open|Grand Chute|WI
TMW_3535|#3535Yoder Plaza|TMW|TMW_S|TMW_S1|TMW_S104|Brick & Mortar|Open|Newport News|VA
TMW_2603|#2603Red Cliffs Mall|TMW|TMW_W|TMW_W3|TMW_W302|Brick & Mortar|Open|Saint George|UT
TMW_2664|#2664Cascade Village|TMW|TMW_W|TMW_W3|TMW_W303|Brick & Mortar|Open|Bend|OR
TMW_4212|#4212Shops at Centerpoint|TMW|TMW_N|TMW_N1|TMW_N104|Brick & Mortar|Open|Grand Rapids|MI
TMW_1263|#1263 Allen, Tx|TMW|TMW_S|TMW_S5|TMW_S504|Brick & Mortar|Open|Allen|TX
TMW_4706|#4706 Lexington, Ky|TMW|TMW_S|TMW_S3|TMW_S303|Brick & Mortar|Open|Lexington|KY
TMW_1708|#1708West County Center|TMW|TMW_S|TMW_S3|TMW_S304|Brick & Mortar|Open|Des Peres|MO
TMW_4131|#4131 Lincoln, Ne|TMW|TMW_W|TMW_W2|TMW_W205|Brick & Mortar|Open|Lincoln|NE
TMW_3335|#3335Granada Shoppes|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|Naples|FL
TMW_1606|#1606Prestige Plaza|TMW|TMW_W|TMW_W2|TMW_W201|Brick & Mortar|Open|Topeka|KS
TMW_5106|#5106 Burlington, Ma|TMW|TMW_N|TMW_N3|TMW_N304|Brick & Mortar|Open|Burlington|MA
